Customer_ID,Customer_Name,Email,Phone,City,State,Country,Segment,Registration_Date
C0001,Customer_1,customer1@email.com,555-2772,Houston,CA,USA,Home Office,2022-06-05
C0002,Customer_2,customer2@email.com,555-3780,San Antonio,NY,USA,Consumer,2022-04-17
C0003,Customer_3,customer3@email.com,555-8423,Los Angeles,TX,USA,Corporate,2023-09-25
C0004,Customer_4,customer4@email.com,555-3871,San Diego,TX,USA,Corporate,2020-12-05
C0005,Customer_5,customer5@email.com,555-1660,Philadelphia,CA,USA,Consumer,2020-07-22
C0006,Customer_6,customer6@email.com,555-7242,Chicago,CA,USA,Consumer,2020-06-09
C0007,Customer_7,customer7@email.com,555-2132,Dallas,TX,USA,Consumer,2021-01-26
C0008,Customer_8,customer8@email.com,555-1699,Phoenix,CA,USA,Consumer,2022-02-07
C0009,Customer_9,customer9@email.com,555-8470,San Diego,TX,USA,Consumer,2021-07-28
C0010,Customer_10,customer10@email.com,555-7297,San Antonio,NY,USA,Consumer,2021-06-17
C0011,Customer_11,customer11@email.com,555-8812,San Diego,AZ,USA,Consumer,2022-12-29
C0012,Customer_12,customer12@email.com,555-5557,San Antonio,TX,USA,Corporate,2022-06-11
C0013,Customer_13,customer13@email.com,555-3179,Chicago,TX,USA,Corporate,2021-02-08
C0014,Customer_14,customer14@email.com,555-9275,Los Angeles,NY,USA,Home Office,2021-08-30
C0015,Customer_15,customer15@email.com,555-2422,San Antonio,TX,USA,Consumer,2022-04-07
C0016,Customer_16,customer16@email.com,555-4180,Chicago,AZ,USA,Corporate,2023-02-17
C0017,Customer_17,customer17@email.com,555-5316,Chicago,CA,USA,Home Office,2021-11-20
C0018,Customer_18,customer18@email.com,555-7696,Los Angeles,CA,USA,Corporate,2022-06-20
C0019,Customer_19,customer19@email.com,555-1614,Houston,CA,USA,Consumer,2023-05-25
C0020,Customer_20,customer20@email.com,555-5570,San Diego,IL,USA,Corporate,2020-02-25
C0021,Customer_21,customer21@email.com,555-1270,New York,CA,USA,Consumer,2020-12-31
C0022,Customer_22,customer22@email.com,555-3468,New York,NY,USA,Consumer,2021-03-30
C0023,Customer_23,customer23@email.com,555-4607,Phoenix,CA,USA,Corporate,2020-04-13
C0024,Customer_24,customer24@email.com,555-4075,Phoenix,TX,USA,Corporate,2020-03-17
C0025,Customer_25,customer25@email.com,555-1289,New York,CA,USA,Consumer,2020-08-17
C0026,Customer_26,customer26@email.com,555-9120,Philadelphia,CA,USA,Home Office,2023-07-05
C0027,Customer_27,customer27@email.com,555-7614,New York,PA,USA,Corporate,2023-07-11
C0028,Customer_28,customer28@email.com,555-4252,Phoenix,IL,USA,Consumer,2020-11-26
C0029,Customer_29,customer29@email.com,555-8415,Dallas,TX,USA,Home Office,2023-04-20
C0030,Customer_30,customer30@email.com,555-7771,Phoenix,CA,USA,Consumer,2022-06-11
C0031,Customer_31,customer31@email.com,555-1278,Philadelphia,IL,USA,Home Office,2021-11-18
C0032,Customer_32,customer32@email.com,555-1580,San Diego,CA,USA,Consumer,2020-01-27
C0033,Customer_33,customer33@email.com,555-5958,New York,PA,USA,Consumer,2023-07-23
C0034,Customer_34,customer34@email.com,555-9445,Los Angeles,NY,USA,Corporate,2020-10-25
C0035,Customer_35,customer35@email.com,555-5276,Dallas,TX,USA,Corporate,2022-08-14
C0036,Customer_36,customer36@email.com,555-8997,Chicago,CA,USA,Corporate,2022-03-09
C0037,Customer_37,customer37@email.com,555-5776,Philadelphia,CA,USA,Home Office,2023-01-19
C0038,Customer_38,customer38@email.com,555-1824,Phoenix,IL,USA,Corporate,2021-04-24
C0039,Customer_39,customer39@email.com,555-4832,Los Angeles,CA,USA,Corporate,2021-07-26
C0040,Customer_40,customer40@email.com,555-9891,San Antonio,NY,USA,Home Office,2021-04-02
C0041,Customer_41,customer41@email.com,555-6445,Houston,TX,USA,Corporate,2020-12-30
C0042,Customer_42,customer42@email.com,555-2380,New York,PA,USA,Consumer,2022-05-08
C0043,Customer_43,customer43@email.com,555-7534,Houston,TX,USA,Home Office,2020-12-16
C0044,Customer_44,customer44@email.com,555-4156,Philadelphia,TX,USA,Consumer,2023-11-24
C0045,Customer_45,customer45@email.com,555-5307,San Antonio,NY,USA,Corporate,2020-09-09
C0046,Customer_46,customer46@email.com,555-6634,San Antonio,NY,USA,Home Office,2022-02-19
C0047,Customer_47,customer47@email.com,555-9575,San Antonio,PA,USA,Corporate,2022-03-13
C0048,Customer_48,customer48@email.com,555-6810,Chicago,AZ,USA,Corporate,2022-10-08
C0049,Customer_49,customer49@email.com,555-9533,Philadelphia,TX,USA,Corporate,2021-04-03
C0050,Customer_50,customer50@email.com,555-6934,San Diego,CA,USA,Consumer,2022-07-05
C0051,Customer_51,customer51@email.com,555-4109,Houston,CA,USA,Home Office,2021-05-13
C0052,Customer_52,customer52@email.com,555-5082,San Diego,AZ,USA,Consumer,2022-08-07
C0053,Customer_53,customer53@email.com,555-4240,Los Angeles,CA,USA,Consumer,2021-05-22
C0054,Customer_54,customer54@email.com,555-7028,San Jose,CA,USA,Consumer,2023-08-20
C0055,Customer_55,customer55@email.com,555-2849,Dallas,PA,USA,Corporate,2021-05-15
C0056,Customer_56,customer56@email.com,555-9497,Dallas,CA,USA,Consumer,2022-03-13
C0057,Customer_57,customer57@email.com,555-3749,San Diego,CA,USA,Home Office,2021-08-20
C0058,Customer_58,customer58@email.com,555-7680,San Jose,TX,USA,Consumer,2020-06-14
C0059,Customer_59,customer59@email.com,555-1205,San Jose,CA,USA,Consumer,2023-12-09
C0060,Customer_60,customer60@email.com,555-8352,New York,AZ,USA,Consumer,2021-04-06
C0061,Customer_61,customer61@email.com,555-5591,Los Angeles,CA,USA,Consumer,2022-07-08
C0062,Customer_62,customer62@email.com,555-4450,Philadelphia,CA,USA,Corporate,2020-04-23
C0063,Customer_63,customer63@email.com,555-8214,San Jose,PA,USA,Consumer,2023-12-27
C0064,Customer_64,customer64@email.com,555-4811,Phoenix,CA,USA,Consumer,2022-09-18
C0065,Customer_65,customer65@email.com,555-6141,Dallas,TX,USA,Consumer,2023-10-11
C0066,Customer_66,customer66@email.com,555-9501,Phoenix,TX,USA,Consumer,2020-07-25
C0067,Customer_67,customer67@email.com,555-3708,Los Angeles,PA,USA,Consumer,2023-06-12
C0068,Customer_68,customer68@email.com,555-2991,San Jose,TX,USA,Consumer,2023-10-10
